logNo	title	bookMention
224248653146	바닥 어디까지 쳐봤어?	false
224245471406	벚꽃은 예뻤고, 경기는..	true
224241564175	7회	false
224228001579	주식 같은 것 때문에.	false
224225324156	끝난건 아니다.	true
224224343941	26년 6회. 부상.	true
224213185786	취중.	false
224208802224	26년 5회.	false
224191560211	26년 4회.	true
224176195716	26년 3회.	false
224159132891	26년 2회	false
224142606288	26년 1회	false
224141341159	다시 턱걸이.	false
224128928285	2025.12.31 그리고 끝.	false
224126418000	뒷이야기.	true
224125171268	목계(木鷄) 5.	false
224124327141	목계(木鷄) 4.	false
224122151337	목계(木鷄) 3.	true
224119560748	목계 (木鷄) 2.	false
224117202768	목계 (木鷄) 1.	false
224115527839	이제는 상상력의 싸움.	false
224112654418	패를 대하는 자세 2.	true
224108067265	시장은 익숙한데, 인생은 낯설다.	false
224104902274	확신과 기대.	false
224102770775	돈을 대하는 상식.	true
224100591941	패(敗)를 대하는 자세 1.	true
224097828174	기운이라는게 있을까?	false
224095606956	확신보다 더 어려운 건, 유연함이다.	false
224093402115	기억에 남을 금, 토요일.	true
224090876785	그게 전부다.	false
224089597336	내길을 내 리듬으로.	false
224087710463	그냥 그렇다는 거다.	false
224086716616	지나간 한 페이지.	false
224084259350	돈을 무심히 보는 힘.	true
224079713426	힘들었던 며칠.	false
224076605849	확률투자 / 확신투자.	true
224074266823	버블일까?.	true
224073122850	인생을 모르지만..	true
224070729038	11월 29일 강연안내. 그리고..	true
224045266456	포즈랑의 투자 이야기.	true
224039714909	뜬구름 잡는 이야기.	false
224038810859	번거롭게 해 드렸습니다.	true
224038264103	길을 아는것과 걷는것의 차이.	true
224035080855	강연 참석자 분들께 질문.	false
224030882918	실패의 시간을, 준비의 과정으로..	false
224023403813	투자가 불로소득이라고?	false
224016381651	C님 / 투자의 실패가 인생의 실패는 아닙니다.	true
224012545762	그게 시작이었다.	false
224006563616	모두 떠나고..	true
224006353634	이게 1년전이라니..	false
224002460633	즐거웠지만..	true
223998915501	20명. 500명. 그걸 누가 알겠어..?	false
223997427011	다채로운 세상.	false
223981269018	내년에는 여름을 좋아해 볼까?	true
223979311584	B님 / 투자는 길고 긴 여정입니다.	true
223977019362	진짜 헛웃음 나와서..	true
223972166355	답이 없다면서.. 왜?	false
223971168655	한가해진 풍경	true
223970269167	A님 / 코인 선물 투자에 대하여.	true
223965682061	순수한 영혼에게.	true
223955448156	이게 맞다고 생각해?	true
223954730293	잘 살아. 이쁨 많이 받고...	true
223950308751	한마디만 더.	true
223947548993	후생가외라더니..	true
223943102003	분양 완료 되었습니다.	true
223941705251	사랑으로 키워 주실분 !!	true
223940659035	파생시장은..	false
223930912084	태도가 9할.	false
223915294636	걷기 시작한 새끼들.	true
223908447085	알 수 없는 인간.	false
223902098520	모성본능.	true
223896202447	벼리야 애썼다.	false
223891255122	드디어 다음 주.	true
223874721726	같은 듯 다른.	true
223856203565	댓글이 준 선물.	false
223854128597	이게 답은 아니겠지만..	false
223831834232	벼리의 임신	false
223823197596	하던걸 하자.	true
223817151119	확신의 정도.	false
223814707985	14 회차.	true
223813876784	투자는 자신을 알아 가는 과정.	true
223806733561	이 감정은 무얼까? 시원섭섭.. 아쉬움..	true
223804996631	드디어. 내일.	true
223794667143	답을 마치면서.	false
223790995946	12. 13회차.	false
223789517503	5.	false
223787959005	4	false
223785980255	3.	true
223784971963	2.	true
223783733326	1.	true
223773592213	날짜와 장소.	false
223767325635	10.11 회차.	false
223763364232	좋은 인연. 그리고 아들.	true
223758139716	답을 드리기에 앞서 2.	true
223754079703	답을 드리기에 앞서 1.	false
223752734842	8.9 회차.	false
223739901777	6.7 회차.	false
223739205543	25년 1월.	false
223735934624	문제는 실천력이다.	true
223723325296	2.3 회차.	false
223713474029	1회차.	false
223710822173	2024.12.31	true
223709854260	지켜야 할 선.	false
223708409140	24회.	true
223702025904	트레이딩은 그렇게 하면, 할게 못되는것이 맞고..	false
223698355471	향수.	false
223695369012	아는것만 이야기 하라니깐..	false
223693229067	승(勝)을 대하는 자세.	true
223687627727	23회	false
223683129217	12월 4일.	false
223678726905	먼저 경험했을뿐, 답을 알지도 찾지도 못했다.	true
223674667141	수급의 의미를 물으셔서..	true
223673524246	가치와 수급.	false
223671279650	22회	false
223654658068	21회	false
223653239430	Memento mori. 2	false
223651055899	Memento mori. 1	false
223635556189	20회	false
223634282481	해석이 모두 다르니까 시장이다.	false
223617078798	19회	false
223612554656	기막힌 우연.	false
223600502162	P.S.	false
223598765565	가을이 너무 좋다.	true
223592263925	18회	false
